Año,Trimestre,Provincia,Mbps (Media de bajada)
2020,2,Neuquén,29.00
2020,2,Río Negro,20.00
2020,2,Salta,23.00
2020,2,San Juan,6.00
2020,2,San Luis,21.00
2020,2,Santa Cruz,7.00
2020,2,Santa Fe,24.00
2020,2,Santiago Del Estero,10.00
2020,2,Tierra Del Fuego,8.00
2020,2,Tucumán,33.00
2020,1,Buenos Aires,45.00
2020,1,Capital Federal,59.00
2020,1,Catamarca,29.00
2020,1,Chaco,26.00
2020,1,Chubut,7.00
2020,1,Córdoba,29.00
2020,1,Corrientes,21.00
2020,1,Entre Ríos,19.00
2020,1,Formosa,16.00
2020,1,Jujuy,14.00
2020,1,La Pampa,7.00
2020,1,La Rioja,8.00
2020,1,Mendoza,8.00
2020,1,Misiones,22.00
2020,1,Neuquén,28.00
2020,1,Río Negro,19.00
2020,1,Salta,21.00
2020,1,San Juan,6.00
2020,1,San Luis,21.00
2020,1,Santa Cruz,6.00
2020,1,Santa Fe,22.00
2020,1,Santiago Del Estero,10.00
2020,1,Tierra Del Fuego,7.00
2020,1,Tucumán,32.00
2019,4,Buenos Aires,31.00
2019,4,Capital Federal,44.00
2019,4,Catamarca,25.00
2019,4,Chaco,23.00
2019,4,Chubut,7.00
2019,4,Córdoba,26.00
2019,4,Corrientes,19.00
2019,4,Entre Ríos,17.00
2019,4,Formosa,15.00
2019,4,Jujuy,13.00
2019,4,La Pampa,7.00
2019,4,La Rioja,8.00
2019,4,Mendoza,8.00
2019,4,Misiones,20.00
2019,4,Neuquén,26.00
2019,4,Río Negro,17.00
2019,4,Salta,19.00
2019,4,San Juan,6.00
2019,4,San Luis,21.00
2019,4,Santa Cruz,5.00
2019,4,Santa Fe,21.00
2019,4,Santiago Del Estero,10.00
2019,4,Tierra Del Fuego,7.00
2019,4,Tucumán,30.00
2019,3,Buenos Aires,26.00
2019,3,Capital Federal,39.00
2019,3,Catamarca,9.00
2019,3,Chaco,20.00
2019,3,Chubut,7.00
2019,3,Córdoba,23.00
2019,3,Corrientes,17.00
2019,3,Entre Ríos,15.00
2019,3,Formosa,13.00
2019,3,Jujuy,12.00
2019,3,La Pampa,6.00
2019,3,La Rioja,8.00
2019,3,Mendoza,6.00
2019,3,Misiones,18.00
2019,3,Neuquén,24.00
2019,3,Río Negro,16.00
2019,3,Salta,15.00
2019,3,San Juan,6.00
2019,3,San Luis,20.00
2019,3,Santa Cruz,5.00
2019,3,Santa Fe,18.00
2019,3,Santiago Del Estero,9.00
2019,3,Tierra Del Fuego,7.00
2019,3,Tucumán,19.00
2019,2,Buenos Aires,22.00
2019,2,Capital Federal,30.00
2019,2,Catamarca,9.00
2019,2,Chaco,16.00
2019,2,Chubut,6.00
2019,2,Córdoba,18.00
2019,2,Corrientes,14.00
2019,2,Entre Ríos,12.00
2019,2,Formosa,11.00
2019,2,Jujuy,12.00
2019,2,La Pampa,5.00
2019,2,La Rioja,8.00
2019,2,Mendoza,6.00
2019,2,Misiones,14.00
2019,2,Neuquén,17.00
2019,2,Río Negro,12.00
2019,2,Salta,13.00
2019,2,San Juan,6.00
2019,2,San Luis,20.00
2019,2,Santa Cruz,6.00
2019,2,Santa Fe,15.00
2019,2,Santiago Del Estero,7.00
2019,2,Tierra Del Fuego,6.00
2019,2,Tucumán,19.00
2019,1,Buenos Aires,20.00
2019,1,Capital Federal,25.00
2019,1,Catamarca,8.00
2019,1,Chaco,13.00
2019,1,Chubut,6.00
2019,1,Córdoba,16.00
2019,1,Corrientes,12.00
2019,1,Entre Ríos,11.00
2019,1,Formosa,10.00
2019,1,Jujuy,9.00
2019,1,La Pampa,5.00
2019,1,La Rioja,7.00
2019,1,Mendoza,6.00
2019,1,Misiones,13.00
2019,1,Neuquén,16.00
2019,1,Río Negro,10.00
2019,1,Salta,10.00
2019,1,San Juan,6.00
2019,1,San Luis,9.00
2019,1,Santa Cruz,6.00
2019,1,Santa Fe,13.00
2019,1,Santiago Del Estero,6.00
2019,1,Tierra Del Fuego,6.00
2019,1,Tucumán,17.00
2018,4,Buenos Aires,17.00
2018,4,Capital Federal,23.00
2018,4,Catamarca,8.00
2018,4,Chaco,13.00
2018,4,Chubut,6.00
2018,4,Córdoba,16.00
2018,4,Corrientes,12.00
2018,4,Entre Ríos,11.00
2018,4,Formosa,10.00
2018,4,Jujuy,9.00
2018,4,La Pampa,4.00
2018,4,La Rioja,7.00
2018,4,Mendoza,6.00
2018,4,Misiones,12.00
2018,4,Neuquén,16.00
2018,4,Río Negro,10.00
2018,4,Salta,10.00
2018,4,San Juan,6.00
2018,4,San Luis,9.00
2018,4,Santa Cruz,5.00
2018,4,Santa Fe,13.00
2018,4,Santiago Del Estero,6.00
2018,4,Tierra Del Fuego,7.00
2018,4,Tucumán,17.00
2018,3,Buenos Aires,17.00
2018,3,Capital Federal,22.00
2018,3,Catamarca,8.00
2018,3,Chaco,13.00
2018,3,Chubut,6.00
2018,3,Córdoba,15.00
2018,3,Corrientes,11.00
2018,3,Entre Ríos,11.00
2018,3,Formosa,9.00
2018,3,Jujuy,8.00
2018,3,La Pampa,4.00
2018,3,La Rioja,6.00
2018,3,Mendoza,6.00
2018,3,Misiones,12.00
2018,3,Neuquén,15.00
2018,3,Río Negro,10.00
2018,3,Salta,9.00
2018,3,San Juan,6.00
2018,3,San Luis,9.00
2018,3,Santa Cruz,5.00
2018,3,Santa Fe,12.00
2018,3,Santiago Del Estero,6.00
2018,3,Tierra Del Fuego,6.00
2018,3,Tucumán,15.00
2018,2,Buenos Aires,15.00
2018,2,Capital Federal,19.00
2018,2,Catamarca,8.00
2018,2,Chaco,12.00
2018,2,Chubut,5.00
2018,2,Córdoba,14.00
2018,2,Corrientes,11.00
2018,2,Entre Ríos,10.00
2018,2,Formosa,9.00
2018,2,Jujuy,6.00
2018,2,La Pampa,4.00
2018,2,La Rioja,6.00
2018,2,Mendoza,6.00
2018,2,Misiones,12.00
2018,2,Neuquén,13.00
2018,2,Río Negro,10.00
2018,2,Salta,9.00
2018,2,San Juan,6.00
2018,2,San Luis,6.00
2018,2,Santa Cruz,5.00
2018,2,Santa Fe,12.00
2018,2,Santiago Del Estero,6.00
2018,2,Tierra Del Fuego,6.00
2018,2,Tucumán,14.00
2018,1,Buenos Aires,14.00
2018,1,Capital Federal,18.00
2018,1,Catamarca,8.00
2018,1,Chaco,12.00
2018,1,Chubut,5.00
2018,1,Córdoba,13.00
2018,1,Corrientes,11.00
2018,1,Entre Ríos,10.00
2018,1,Formosa,11.00
2018,1,Jujuy,7.00
2018,1,La Pampa,4.00
2018,1,La Rioja,6.00
2018,1,Mendoza,6.00
2018,1,Misiones,12.00
2018,1,Neuquén,12.00
2018,1,Río Negro,9.00
2018,1,Salta,9.00
2018,1,San Juan,6.00
2018,1,San Luis,6.00
2018,1,Santa Cruz,5.00
2018,1,Santa Fe,11.00
2018,1,Santiago Del Estero,6.00
2018,1,Tierra Del Fuego,6.00
2018,1,Tucumán,9.00
2017,4,Buenos Aires,13.00
2017,4,Capital Federal,15.00
2017,4,Catamarca,8.00
2017,4,Chaco,12.00
2017,4,Chubut,5.00
2017,4,Córdoba,12.00
2017,4,Corrientes,10.00
2017,4,Entre Ríos,9.00
2017,4,Formosa,10.00
2017,4,Jujuy,7.00
2017,4,La Pampa,4.00
2017,4,La Rioja,6.00
2017,4,Mendoza,6.00
2017,4,Misiones,11.00
2017,4,Neuquén,11.00
2017,4,Río Negro,8.00
2017,4,Salta,8.00
2017,4,San Juan,6.00
2017,4,San Luis,6.00
2017,4,Santa Cruz,5.00
2017,4,Santa Fe,10.00
2017,4,Santiago Del Estero,6.00
2017,4,Tierra Del Fuego,5.00
2017,4,Tucumán,9.00
2017,3,Buenos Aires,8.00
2017,3,Capital Federal,11.00
2017,3,Catamarca,5.00
2017,3,Chaco,8.00
2017,3,Chubut,3.00
2017,3,Córdoba,9.00
2017,3,Corrientes,7.00
2017,3,Entre Ríos,7.00
2017,3,Formosa,7.00
2017,3,Jujuy,5.00
2017,3,La Pampa,3.00
2017,3,La Rioja,5.00
2017,3,Mendoza,4.00
2017,3,Misiones,8.00
2017,3,Neuquén,8.00
2017,3,Río Negro,5.00
2017,3,Salta,6.00
2017,3,San Juan,3.00
2017,3,San Luis,4.00
2017,3,Santa Cruz,4.00
2017,3,Santa Fe,8.00
2017,3,Santiago Del Estero,5.00
2017,3,Tierra Del Fuego,3.00
2017,3,Tucumán,6.00
2017,2,Buenos Aires,7.00
2017,2,Capital Federal,9.00
2017,2,Catamarca,5.00
2017,2,Chaco,8.00
2017,2,Chubut,3.00
2017,2,Córdoba,7.00
2017,2,Corrientes,7.00
2017,2,Entre Ríos,6.00
2017,2,Formosa,6.00
2017,2,Jujuy,5.00
2017,2,La Pampa,3.00
2017,2,La Rioja,6.00
2017,2,Mendoza,4.00
2017,2,Misiones,8.00
2017,2,Neuquén,7.00
2017,2,Río Negro,5.00
2017,2,Salta,6.00
2017,2,San Juan,3.00
2017,2,San Luis,4.00
2017,2,Santa Cruz,4.00
2017,2,Santa Fe,7.00
2017,2,Santiago Del Estero,5.00
2017,2,Tierra Del Fuego,3.00
2017,2,Tucumán,6.00
2017,1,Buenos Aires,7.00
2017,1,Capital Federal,8.00
2017,1,Catamarca,5.00
2017,1,Chaco,7.00
2017,1,Chubut,3.00
2017,1,Córdoba,7.00
2017,1,Corrientes,6.00
2017,1,Entre Ríos,6.00
2017,1,Formosa,6.00
2017,1,Jujuy,4.00
2017,1,La Pampa,3.00
2017,1,La Rioja,5.00
2017,1,Mendoza,4.00
2017,1,Misiones,7.00
2017,1,Neuquén,6.00
2017,1,Río Negro,4.00
2017,1,Salta,5.00
2017,1,San Juan,3.00
2017,1,San Luis,4.00
2017,1,Santa Cruz,4.00
2017,1,Santa Fe,6.00
2017,1,Santiago Del Estero,5.00
2017,1,Tierra Del Fuego,3.00
2017,1,Tucumán,6.00
2016,4,Buenos Aires,6.00
2016,4,Capital Federal,8.00
2016,4,Catamarca,5.00
2016,4,Chaco,7.00
2016,4,Chubut,3.00
2016,4,Córdoba,6.00
2016,4,Corrientes,6.00
2016,4,Entre Ríos,6.00
2016,4,Formosa,6.00
2016,4,Jujuy,4.00
2016,4,La Pampa,3.00
2016,4,La Rioja,5.00
2016,4,Mendoza,4.00
2016,4,Misiones,7.00
2016,4,Neuquén,6.00
2016,4,Río Negro,4.00
2016,4,Salta,5.00
2016,4,San Juan,3.00
2016,4,San Luis,4.00
2016,4,Santa Cruz,4.00
2016,4,Santa Fe,6.00
2016,4,Santiago Del Estero,5.00
2016,4,Tierra Del Fuego,3.00
2016,4,Tucumán,6.00
2016,3,Buenos Aires,6.00
2016,3,Capital Federal,7.00
2016,3,Catamarca,5.00
2016,3,Chaco,7.00
2016,3,Chubut,3.00
2016,3,Córdoba,6.00
2016,3,Corrientes,6.00
2016,3,Entre Ríos,6.00
2016,3,Formosa,5.00
2016,3,Jujuy,4.00
2016,3,La Pampa,3.00
2016,3,La Rioja,5.00
2016,3,Mendoza,4.00
2016,3,Misiones,7.00
2016,3,Neuquén,5.00
2016,3,Río Negro,4.00
2016,3,Salta,5.00
2016,3,San Juan,3.00
2016,3,San Luis,4.00
2016,3,Santa Cruz,4.00
2016,3,Santa Fe,6.00
2016,3,Santiago Del Estero,5.00
2016,3,Tierra Del Fuego,3.00
2016,3,Tucumán,6.00
2016,2,Buenos Aires,5.00
2016,2,Capital Federal,7.00
2016,2,Catamarca,4.00
2016,2,Chaco,6.00
2016,2,Chubut,3.00
2016,2,Córdoba,6.00
2016,2,Corrientes,6.00
2016,2,Entre Ríos,5.00
2016,2,Formosa,5.00
2016,2,Jujuy,4.00
2016,2,La Pampa,3.00
2016,2,La Rioja,5.00
2016,2,Mendoza,4.00
2016,2,Misiones,6.00
2016,2,Neuquén,5.00
2016,2,Río Negro,4.00
2016,2,Salta,5.00
2016,2,San Juan,3.00
2016,2,San Luis,4.00
2016,2,Santa Cruz,4.00
2016,2,Santa Fe,5.00
2016,2,Santiago Del Estero,4.00
2016,2,Tierra Del Fuego,3.00
2016,2,Tucumán,5.00
2016,1,Buenos Aires,5.00
2016,1,Capital Federal,6.00
2016,1,Catamarca,4.00
2016,1,Chaco,6.00
2016,1,Chubut,3.00
2016,1,Córdoba,5.00
2016,1,Corrientes,5.00
2016,1,Entre Ríos,5.00
2016,1,Formosa,5.00
2016,1,Jujuy,4.00
2016,1,La Pampa,3.00
2016,1,La Rioja,5.00
2016,1,Mendoza,4.00
2016,1,Misiones,6.00
2016,1,Neuquén,4.00
2016,1,Río Negro,4.00
2016,1,Salta,5.00
2016,1,San Juan,3.00
2016,1,San Luis,4.00
2016,1,Santa Cruz,3.00
2016,1,Santa Fe,5.00
2016,1,Santiago Del Estero,4.00
2016,1,Tierra Del Fuego,3.00
2016,1,Tucumán,5.00
2015,4,Buenos Aires,5.00
2015,4,Capital Federal,6.00
2015,4,Catamarca,4.00
2015,4,Chaco,6.00
2015,4,Chubut,3.00
2015,4,Córdoba,5.00
2015,4,Corrientes,5.00
2015,4,Entre Ríos,5.00
2015,4,Formosa,5.00
2015,4,Jujuy,4.00
2015,4,La Pampa,3.00
2015,4,La Rioja,5.00
2015,4,Mendoza,4.00
2015,4,Misiones,6.00
2015,4,Neuquén,4.00
2015,4,Río Negro,4.00
2015,4,Salta,5.00
2015,4,San Juan,3.00
2015,4,San Luis,4.00
2015,4,Santa Cruz,3.00
2015,4,Santa Fe,5.00
2015,4,Santiago Del Estero,4.00
2015,4,Tierra Del Fuego,3.00
2015,4,Tucumán,5.00
2015,3,Buenos Aires,5.00
2015,3,Capital Federal,6.00
2015,3,Catamarca,4.00
2015,3,Chaco,5.00
2015,3,Chubut,3.00
2015,3,Córdoba,5.00
2015,3,Corrientes,5.00
2015,3,Entre Ríos,5.00
2015,3,Formosa,4.00
2015,3,Jujuy,4.00
2015,3,La Pampa,3.00
2015,3,La Rioja,4.00
2015,3,Mendoza,4.00
2015,3,Misiones,6.00
2015,3,Neuquén,4.00
2015,3,Río Negro,4.00
2015,3,Salta,4.00
2015,3,San Juan,3.00
2015,3,San Luis,4.00
2015,3,Santa Cruz,3.00
2015,3,Santa Fe,5.00
2015,3,Santiago Del Estero,4.00
2015,3,Tierra Del Fuego,3.00
2015,3,Tucumán,5.00
2015,2,Buenos Aires,4.00
2015,2,Capital Federal,5.00
2015,2,Catamarca,4.00
2015,2,Chaco,5.00
2015,2,Chubut,3.00
2015,2,Córdoba,5.00
2015,2,Corrientes,5.00
2015,2,Entre Ríos,5.00
2015,2,Formosa,4.00
2015,2,Jujuy,3.00
2015,2,La Pampa,3.00
2015,2,La Rioja,4.00
2015,2,Mendoza,4.00
2015,2,Misiones,5.00
2015,2,Neuquén,4.00
2015,2,Río Negro,4.00
2015,2,Salta,4.00
2015,2,San Juan,3.00
2015,2,San Luis,4.00
2015,2,Santa Cruz,3.00
2015,2,Santa Fe,4.00
2015,2,Santiago Del Estero,4.00
2015,2,Tierra Del Fuego,3.00
2015,2,Tucumán,4.00
2015,1,Buenos Aires,4.00
2015,1,Capital Federal,5.00
2015,1,Catamarca,3.00
2015,1,Chaco,5.00
2015,1,Chubut,3.00
2015,1,Córdoba,4.00
2015,1,Corrientes,5.00
2015,1,Entre Ríos,4.00
2015,1,Formosa,3.00
2015,1,Jujuy,3.00
2015,1,La Pampa,3.00
2015,1,La Rioja,4.00
2015,1,Mendoza,4.00
2015,1,Misiones,5.00
2015,1,Neuquén,4.00
2015,1,Río Negro,4.00
2015,1,Salta,4.00
2015,1,San Juan,3.00
2015,1,San Luis,4.00
2015,1,Santa Cruz,3.00
2015,1,Santa Fe,4.00
2015,1,Santiago Del Estero,4.00
2015,1,Tierra Del Fuego,3.00
2015,1,Tucumán,4.00
2014,4,Buenos Aires,4.00
2014,4,Capital Federal,5.00
2014,4,Catamarca,3.00
2014,4,Chaco,4.00
2014,4,Chubut,3.00
2014,4,Córdoba,4.00
2014,4,Corrientes,4.00
2014,4,Entre Ríos,4.00
2014,4,Formosa,3.00
2014,4,Jujuy,3.00
2014,4,La Pampa,3.00
2014,4,La Rioja,4.00
2014,4,Mendoza,4.00
2014,4,Misiones,4.00
2014,4,Neuquén,4.00
2014,4,Río Negro,4.00
2014,4,Salta,4.00
2014,4,San Juan,3.00
2014,4,San Luis,4.00
2014,4,Santa Cruz,3.00
2014,4,Santa Fe,4.00
2014,4,Santiago Del Estero,3.00
2014,4,Tierra Del Fuego,3.00
2014,4,Tucumán,4.00
2014,3,Buenos Aires,4.00
2014,3,Capital Federal,4.00
2014,3,Catamarca,3.00
2014,3,Chaco,3.00
2014,3,Chubut,3.00
2014,3,Córdoba,4.00
2014,3,Corrientes,3.00
2014,3,Entre Ríos,3.00
2014,3,Formosa,3.00
2014,3,Jujuy,3.00
2014,3,La Pampa,3.00
2014,3,La Rioja,3.00
2014,3,Mendoza,4.00
2014,3,Misiones,4.00
2014,3,Neuquén,4.00
2014,3,Río Negro,3.00
2014,3,Salta,3.00
2014,3,San Juan,3.00
2014,3,San Luis,4.00
2014,3,Santa Cruz,3.00
2014,3,Santa Fe,3.00
2014,3,Santiago Del Estero,3.00
2014,3,Tierra Del Fuego,3.00
2014,3,Tucumán,3.00
2014,2,Buenos Aires,4.00
2014,2,Capital Federal,4.00
2014,2,Catamarca,3.00
2014,2,Chaco,3.00
2014,2,Chubut,3.00
2014,2,Córdoba,4.00
2014,2,Corrientes,3.00
2014,2,Entre Ríos,3.00
2014,2,Formosa,3.00
2014,2,Jujuy,3.00
2014,2,La Pampa,3.00
2014,2,La Rioja,3.00
2014,2,Mendoza,4.00
2014,2,Misiones,4.00
2014,2,Neuquén,4.00
2014,2,Río Negro,3.00
2014,2,Salta,3.00
2014,2,San Juan,3.00
2014,2,San Luis,4.00
2014,2,Santa Cruz,3.00
2014,2,Santa Fe,3.00
2014,2,Santiago Del Estero,3.00
2014,2,Tierra Del Fuego,3.00
2014,2,Tucumán,3.00
2014,1,Buenos Aires,4.00
2014,1,Capital Federal,4.00
2014,1,Catamarca,3.00
2014,1,Chaco,3.00
2014,1,Chubut,3.00
2014,1,Córdoba,3.00
2014,1,Corrientes,3.00
2014,1,Entre Ríos,3.00
2014,1,Formosa,3.00
2014,1,Jujuy,3.00
2014,1,La Pampa,3.00
2014,1,La Rioja,3.00
2014,1,Mendoza,4.00
2014,1,Misiones,3.00
2014,1,Neuquén,4.00
2014,1,Río Negro,3.00
2014,1,Salta,3.00
2014,1,San Juan,3.00
2014,1,San Luis,4.00
2014,1,Santa Cruz,3.00
2014,1,Santa Fe,3.00
2014,1,Santiago Del Estero,3.00
2014,1,Tierra Del Fuego,3.00
2014,1,Tucumán,3.00
